"datetime","device id","weight","temp","humidity","input","output","in-out","EC","PH","slav temp","intensity"
"202309131123","1","19.32","29.27","69.84","100.00","0.00","100.00","3.91","7.10","26.20","0"
"202309131124","1","19.32","29.10","70.32","200.00","0.00","200.00","3.91","7.11","26.15","0"
"202309131125","1","19.32","28.89","70.98","320.00","0.00","320.00","3.91","7.10","26.08","0"
"202309131126","1","19.33","28.75","71.61","440.00","0.00","440.00","3.91","7.10","26.08","0"
"202309131127","1","19.33","28.66","72.16","540.00","0.00","540.00","3.91","7.11","26.08","0"
"202309131128","1","19.33","28.61","72.18","660.00","0.00","660.00","3.91","7.11","26.08","0"
"202309131129","1","19.33","28.57","72.10","760.00","0.00","760.00","3.91","7.11","26.08","0"
"202309131130","1","19.33","28.51","72.10","880.00","0.00","880.00","3.91","7.11","26.08","0"
"202309131131","1","19.33","28.46","72.35","1000.00","0.00","1000.00","3.91","7.12","26.08","0"
"202309131132","1","19.33","28.42","72.80","1120.00","0.00","1120.00","3.91","7.12","26.08","0"
"202309131133","1","19.33","28.39","73.00","1220.00","0.00","1220.00","3.91","7.11","26.08","0"
"202309131134","1","19.33","28.37","73.11","1340.00","0.00","1340.00","3.91","7.12","26.08","0"
"202309131135","1","19.33","28.36","73.34","1440.00","0.00","1440.00","3.91","7.12","26.08","0"
"202309131136","1","19.33","28.37","73.58","1560.00","0.00","1560.00","3.91","7.11","26.08","0"
"202309131137","1","19.33","28.38","73.42","1680.00","0.00","1680.00","3.91","7.12","26.08","0"
"202309131138","1","19.33","28.39","73.24","1780.00","0.00","1780.00","3.91","7.12","26.08","0"
"202309131139","1","19.30","28.39","72.73","1820.00","0.00","1820.00","3.91","7.12","26.08","0"
"202309131140","1","19.26","28.37","72.74","1820.00","0.00","1820.00","3.91","7.12","26.08","0"
"202309131141","1","19.23","28.34","72.62","1820.00","0.00","1820.00","3.91","7.12","26.08","0"
"202309131142","1","19.23","28.29","72.88","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131143","1","19.22","28.29","73.42","1820.00","0.00","1820.00","3.91","7.12","26.08","0"
"202309131144","1","19.22","28.30","73.45","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131145","1","19.22","28.32","73.22","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131146","1","19.21","28.32","73.29","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131147","1","19.21","28.35","73.47","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131148","1","19.21","28.36","73.41","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131149","1","19.20","28.38","73.04","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131150","1","19.20","28.38","73.04","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
"202309131151","1","19.20","28.37","73.17","1820.00","0.00","1820.00","3.91","7.13","26.08","0"
